Quote;Author;Gender;Category
The unexamined life is not worth living ; Socrates;M;philosophy
Whereof one cannot speak, thereof one must be silent ; Ludwig Wittgenstein;M;philosophy
Entities should not be multiplied unnecessarily ; William of Ockham;M;philosophy
The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short ; Thomas Hobbes;M;philosophy
I think therefore I am (Cogito, ergo sum) ; René Descartes;M;philosophy
He who thinks great thoughts, often makes great errors ; Martin Heidegger;M;philosophy
We live in the best of all possible worlds ; Gottfried Wilhelm Leibniz;M;philosophy
What is rational is actual and what is actual is rational ; G. W. F. Hegel;M;philosophy
God is dead! He remains dead! And we have killed him. ; Friedrich Nietzsche;M;philosophy
There is but one truly serious philosophical problem, and that is suicide ; Albert Camus;M;philosophy
One cannot step twice in the same river ; Heraclitus;M;philosophy
The greatest happiness of the greatest number is the foundation of morals and legislation ; Jeremy Bentham;M;philosophy
To be is to be perceived (Esse est percipi); Bishop George Berkeley;M;philosophy
Happiness is not an ideal of reason but of imagination ; Immanuel Kant;M;philosophy
No man's knowledge here can go beyond his experience ; John Locke;M;philosophy
God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us ; Niccolo Machiavelli;M;philosophy
Liberty consists in doing what one desires ; John Stuart Mill;M;philosophy
It is undesirable to believe a proposition when there is no ground whatever for supposing it true ; Bertrand Russell;M;philosophy
Even while they teach, men learn ; Seneca the Younger;M;philosophy
There is only one good, knowledge, and one evil, ignorance ; Socrates;M;philosophy
If God did not exist, it would be necessary to invent Him ; Voltaire;M;philosophy
"This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities "; Bertrand Russell;M;philosophy
One cannot conceive anything so strange and so implausible that it has not already been said by one philosopher or another ; René Descartes;M;philosophy
Leisure is the mother of philosophy ; Thomas Hobbes;M;philosophy
Philosophy is a battle against the bewitchment of our intelligence by means of language ; Ludwig Wittgenstein;M;philosophy
There is only one thing a philosopher can be relied upon to do, and that is to contradict other philosophers ; William James;M;philosophy
We are what we repeatedly do. Excellence, then, is not an act, but a habit ; Aristotle;M;philosophy
Only one man ever understood me, and he didn’t understand me ; G. W. F. Hegel;M;philosophy
The mind is furnished with ideas by experience alone ; John Locke;M;philosophy
Life must be understood backward. But it must be lived forward  ; Søren Kierkegaard;M;philosophy
Science is what you know. Philosophy is what you don't know ; Bertrand Russell;M;philosophy
Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck ; Immanuel Kant;M;philosophy
Philosophy is at once the most sublime and the most trivial of human pursuits ; William James;M;philosophy
History is Philosophy teaching by examples ; Thucydides;M;philosophy
He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god ; Aristotle;M;philosophy
You can discover more about a person in an hour of play than in a year of conversation ; Plato;M;philosophy
Things alter for the worse spontaneously, if they be not altered for the better designedly ; Francis Bacon;M;philosophy
All that is necessary for the triumph of evil is that good men do nothing ;Edmund Burke;M;philosophy
Is man merely a mistake of God's? Or God merely a mistake of man's? ; Friedrich Nietzsche;M;philosophy
I would never die for my beliefs because I might be wrong ; Bertrand Russell;M;philosophy
Religion is the sign of the oppressed ... it is the opium of the people ; Karl Marx;M;philosophy
Happiness is the highest good ; Aristotle;M;philosophy
If men were born free, they would, so long as they remained free, form no conception of good and evil ; Baruch Spinoza;M;philosophy
The greater the difficulty, the more glory in surmounting it ; Epicurus;M;philosophy
Whatever is reasonable is true, and whatever is true is reasonable ; G. W. F. Hegel;M;philosophy
Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness ; Immanuel Kant;M;philosophy
Man is condemned to be free ; Jean-Paul Sartre;M;philosophy
It is one thing to show a man that he is in error, and another to put him in possession of truth ; John Locke;M;philosophy
I don’t know why we are here, but I’m pretty sure it is not in order to enjoy ourselves ; Ludwig Wittgenstein;M;philosophy
That man is wisest who, like Socrates, realizes that his wisdom is worthless ; Plato;M;philosophy
The only thing I know is that I know nothing ; Socrates;M;philosophy
All is for the best in the best of all possible worlds ; Voltaire (in parody of Leibniz);M;philosophy
The function of prayer is not to influence God, but rather to change the nature of the one who prays ; Søren Kierkegaard;M;philosophy
Man is born free, but is everywhere in chains ; Jean-Jacques Rousseau;M;philosophy
Man will never be free until the last king is strangled with the entrails of the last priest ; Denis Diderot;M;philosophy
