Unnamed: 0,Author,Category,Gender,Quote,Quote_tok,SA,num,count,counts
0,Antonie van Leeuwenhoek,science,M,"I believe that thirty million of these animalcules together would not take up as much room, or be as big, as a coarse grain of sand",I believe thirty million animalcules together would take much room big coarse grain sand,0.0,,1,1
1,Richard Dawkins,science,M,Biology is the study of the complex things in the Universe. Physics is the study of the simple ones,Biology study complex things Universe Physics study simple ones,0.0,,1,1
2,J. B. S. Haldane,science,M,"If physics and biology one day meet, and one of the two is swallowed up, that one will be biology",If physics biology one day meet one two swallowed one biology,0.0,,1,1
3,Aristotle,science,M,"By �life,� we mean a thing that can nourish itself and grow and decay",By life mean thing nourish grow decay,-0.4019,,1,1
4,Har Gobind Khorana,science,M,Everything that human beings or living animals do is done by protein molecules. And therefore the kind of proteins that one has and therefore the ability one has is determined by the genes that one has,Everything human beings living animals done protein molecules And therefore kind proteins one therefore ability one determined genes one,0.7964,,1,1
5,Fred Hoyle,science,M,"Instead of being the biological center of the Universe, I believe our planet is just an assembly station, but one with a major advantage over most other places. The constant presence of liquid water almost everywhere on the Earth is a huge advantage for life, especially for assembling life into complex forms by the process we call evolution",Instead biological center Universe I believe planet assembly station one major advantage places The constant presence liquid water almost everywhere Earth huge advantage life especially assembling life complex forms process call evolution,0.617,,1,1
6,James Watson,science,M,The finding of the double helix thus brought us not only joy but great relief. It was unbelievably interesting and immediately allowed us to make a serious proposal for the mechanism of gene duplication,The finding double helix thus brought us joy great relief It unbelievably interesting immediately allowed us make serious proposal mechanism gene duplication,0.9286,,1,1
7,Francis Crick,science,M,The development of biology is going to destroy to some extent our traditional grounds for ethical belief and it is not easy to see what to put in their place,The development biology going destroy extent traditional grounds ethical belief easy see put place,0.4019,,1,1
8,Stephen Jay Gould,science,M,Nearly 2.5 billion years of prokaryotic cells and nothing else � two-thirds of life�s history in stasis at the lowest level of recorded complexity� Why did life remain at stage 1 for two-thirds of its history if complexity offers such benefits? ,Nearly 2 5 billion years prokaryotic cells nothing else two thirds life history stasis lowest level recorded complexity Why life remain stage 1 two thirds history complexity offers benefits,0.0,,2,2
9,James Lovelock,science,M,"I think it would be quite wrong to suggest that my colleagues have rejected me or that I reject them. Quite the reverse. It�s only a small, vociferous group � mainly biologists, I�m sorry to say � that go beyond ordinary scientific criticism and start becoming personal
",I think would quite wrong suggest colleagues rejected I reject Quite reverse It small vociferous group mainly biologists I sorry say go beyond ordinary scientific criticism start becoming personal,-0.9245,,1,1
10,Rachel Carson,science,F,"This is an era of specialists, each of whom sees his own problem and is unaware of or intolerant of the larger frame into which it fits",This era specialists sees problem unaware intolerant larger frame fits,-0.5423,,1,1
11,Bertrand Russell,science,M,"Why the dinosaurs died out is not known, but it is supposed to be because they had minute brains and devoted themselves to the growth of weapons of offense in the shape of numerous horns",Why dinosaurs died known supposed minute brains devoted growth weapons offense shape numerous horns,-0.4939,,1,1
12,Edmund Beecher Wilson,science,M,Perhaps it is not amiss to remark that the biologist may not hope to solve the ultimate problems of life any more than the chemist and physicist may hope to penetrate the final mysteries of existence in the non-living world,Perhaps amiss remark biologist may hope solve ultimate problems life chemist physicist may hope penetrate final mysteries existence non living world,0.5994,,1,1
13,Alfred Russel Wallace,science,M,"All increasing or dominant species (and it is from these that new species arise) vary considerably, in all their parts, organs and faculties, in every generation",All increasing dominant species new species arise vary considerably parts organs faculties every generation,0.0,,1,1
14,Susumu Ohno,science,M,"Did the genome of our cave-dwelling predecessors contain a set or sets of genes which enable modern man to compose music of infinite complexity and write novels with profound meaning? �It looks as though the early Homo was already provided with the intellectual potential which was in great excess of what was needed to cope with the environment of his time
",Did genome cave dwelling predecessors contain set sets genes enable modern man compose music infinite complexity write novels profound meaning It looks though early Homo already provided intellectual potential great excess needed cope environment time,0.8176,,1,1
15,Auguste Compte,science,M,"The time however has arrived when biology must, like the other sciences, make a fresh start in a purely speculative direction, free from all entanglement with medical or any other art",The time however arrived biology must like sciences make fresh start purely speculative direction free entanglement medical art,0.8425,,1,1
16,Rita Levi-Montalcini,science,F,"Although the alternate �wax and wane� cycles are the rule rather than the exception in all fields of human endeavor, in that of biological sciences the �wane� is all too often indicative of a justified loss of faith in the rational and methodical approach that had at first raised so much hope",Although alternate wax wane cycles rule rather exception fields human endeavor biological sciences wane often indicative justified loss faith rational methodical approach first raised much hope,0.7717,,1,1
17,Stan Ulam,science,M,"I believe that new mathematical schemata, new systems of axioms, certainly new systems of mathematical structures will be suggested by the study of the living world
",I believe new mathematical schemata new systems axioms certainly new systems mathematical structures suggested study living world,0.34,,1,1
18,Shinya Yamanaka,science,M,"Dr. Ikemoto repeatedly told me that we should not perform research that simply reproduced somebody else�s results. Rather, we should do something unique and new",Dr Ikemoto repeatedly told perform research simply reproduced somebody else results Rather something unique new,0.0,,1,1
19,Stephen Jay Gould,science,M,"Evolution is one of the half-dozen shattering ideas that science has developed to overturn past hopes and assumptions, and to enlighten our current thoughts.",Evolution one half dozen shattering ideas science developed overturn past hopes assumptions enlighten current thoughts,0.7269,,2,2
20,Charles Darwin,science,M,"On the principle of successive variations not always supervening at an early age, and being inherited at a corresponding not early period of life, we can clearly see why the embryos of mammals, birds, reptiles, and fishes should be so closely alike, and should be so unlike the adult forms.
",On principle successive variations always supervening early age inherited corresponding early period life clearly see embryos mammals birds reptiles fishes closely alike unlike adult forms,0.5859,,1,1
21,Carl Sagan,science,M,"Our thoughts, visions and fantasies have a physical reality. A thought is made of hundreds of electrochemical impulses",Our thoughts visions fantasies physical reality A thought made hundreds electrochemical impulses,0.2263,,1,1
22,Herbert Maule Richards,science,M,"Botany consists in the gathering of plants, and the dismembering of them, in connection with the use of a complicated terminology. That is the beginning and end of botany as it is understood by the majority",Botany consists gathering plants dismembering connection use complicated terminology That beginning end botany understood majority,0.0,,1,1
23,Svante Arrhenius,science,M,"It is thus probable that germs of the lowest organisms known to us are continually being carried away from the earth and the other planets upon which they exist. As seeds in general, so most of these spores, thus carried away, will no doubt meet death in the cold infinite space of the universe. Yet a small number of spores will fall on some other world, and may there be able to spread life, if conditions be suitable
",It thus probable germs lowest organisms known us continually carried away earth planets upon exist As seeds general spores thus carried away doubt meet death cold infinite space universe Yet small number spores fall world may able spread life conditions suitable,-0.8271,,1,1
24,Margarita Salas,,F,"La mujer ocupará en el mundo científico el puesto que le corresponda de acuerdo con su capacidad, y no necesitaremos cuotas ni nada de eso",La mujer ocupará en el mundo científico el puesto que le corresponda de acuerdo con su capacidad necesitaremos cuotas ni nada de eso,0.0,,5,5
25,Margarita Salas,,F,"Si los jóvenes se van de España, su vuelta es casi imposible",Si los jóvenes se van de España su vuelta es casi imposible,0.0,,5,5
26,Margarita Salas,,F,Si se van es imposible que vuelvan,Si se van es imposible que vuelvan,0.0,,5,5
27,Pepe,,M,hola,hola,0.0,,1,1
28,Margarita ,,F,La mujer,La mujer,0.0,,1,1
29,Margarita Salas,,F,Lo importante es no tener arrugas en el cerebro,Lo importante es tener arrugas en el cerebro,0.0,,5,5
30, Socrates,philosophy,M,The unexamined life is not worth living ,The unexamined life worth living,0.2263,,3,3
31, Ludwig Wittgenstein,philosophy,M,"Whereof one cannot speak, thereof one must be silent ",Whereof one cannot speak thereof one must silent,0.0,,3,3
32, William of Ockham,philosophy,M,Entities should not be multiplied unnecessarily ,Entities multiplied unnecessarily,0.0,,1,1
33, Thomas Hobbes,philosophy,M,"The life of man (in a state of nature) is solitary, poor, nasty, brutish, and short ",The life man state nature solitary poor nasty brutish short,-0.7717,,2,2
34, Ren� Descartes,philosophy,M,"I think therefore I am (Cogito, ergo sum) ",I think therefore I Cogito ergo sum,0.0,,3,3
35, Martin Heidegger,philosophy,M,"He who thinks great thoughts, often makes great errors ",He thinks great thoughts often makes great errors,0.7783,,1,1
36, Gottfried Wilhelm Leibniz,philosophy,M,We live in the best of all possible worlds ,We live best possible worlds,0.6369,,1,1
37, G. W. F. Hegel,philosophy,M,What is rational is actual and what is actual is rational ,What rational actual actual rational,0.0,,3,3
38, Friedrich Nietzsche,philosophy,M,God is dead! He remains dead! And we have killed him. ,God dead He remains dead And killed,-0.9186,,2,2
39, Albert Camus,philosophy,M,"There is but one truly serious philosophical problem, and that is suicide ",There one truly serious philosophical problem suicide,-0.6808,,1,1
40, Heraclitus,philosophy,M,One cannot step twice in the same river ,One cannot step twice river,0.0,,1,1
41, Jeremy Bentham,philosophy,M,The greatest happiness of the greatest number is the foundation of morals and legislation ,The greatest happiness greatest number foundation morals legislation,0.9231,,1,1
42, Bishop George Berkeley,philosophy,M,To be is to be perceived (Esse est percipi),To perceived Esse est percipi,0.0,,1,1
43, Immanuel Kant,philosophy,M,Happiness is not an ideal of reason but of imagination ,Happiness ideal reason imagination,0.7906,,3,3
44, John Locke,philosophy,M,No man's knowledge here can go beyond his experience ,No man knowledge go beyond experience,-0.296,,5,5
45, Niccolo Machiavelli,philosophy,M,"God is not willing to do everything, and thus take away our free will and that share of glory which belongs to us ",God willing everything thus take away free share glory belongs us,0.8779,,1,1
46, John Stuart Mill,philosophy,M,Liberty consists in doing what one desires ,Liberty consists one desires,0.5267,,2,2
47, Bertrand Russell,philosophy,M,It is undesirable to believe a proposition when there is no ground whatever for supposing it true ,It undesirable believe proposition ground whatever supposing true,-0.0258,,4,4
