Quote;Author;Gender;Category
Terror made me crue;Emily Brontë;F;literature
We were the people who were not in the papers. We lived in the blank white spaces at the edges of print. It gave us more freedom. We lived in the gaps between the stories.;Margaret Atwood;F;literature
Life appears to me too short to be spent in nursing animosity or registering wrongs.;Charlotte Brontë;F;literature
Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind;Miguel de Cervantes Saavedra;M;literature
She had waited all her life for something, and it had killed her when it found her.;Zora Neale Hurston;F;literature
Nothing is so painful to the human mind as a great and sudden change.;Mary Shelley;F;literature
Perhaps it was freedom itself that choked her.;Patricia Highsmith;F;literature
I took a deep breath and listened to the old brag of my heart: I am, I am, I am;Sylvia Plath;F;literature
Generally, by the time you are Real, most of your hair has been loved off, and your eyes drop out and you get loose in the joints and very shabby. But these things don’t matter at all, because once you are Real you can’t be ugly, except to people who don’t understand.;Margery Williams;F;literature
I am not afraid of storms, for I am learning how to sail my ship;Louisa May Alcott;F;literature
Last night I dreamt I went to Manderley again.;Daphne du Maurier;F;literature
It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife;Jane Austen;F;literature
Tomorrow I’ll think of some way to get him back. After all, tomorrow is another day;Margaret Mitchel;F;literature
It does not do to dwell on dreams and forget to live;J.K. Rowlin;F;literature
You pierce my soul. I am half agony. Half hope. Tell me not that I am too late, that such precious feelings are gone for ever;Jane Austen;F;literature
I had the epiphany that laughter was light, and light was laughter, and that this was the secret of the universe; Donna Tartt;F;literature
There are some things you learn best in calm, and some in storm.;Willa Cather;F;literature
From that time on, the world was hers for the reading. She would never be lonely again, never miss the lack of intimate friends. Books became her friends and there was one for every mood;Betty Smith;F;literature
Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering.;Nicole Krauss;F;literature
The voice of the sea is seductive, never ceasing, whispering, clamoring, murmuring, inviting the soul to wander in abysses of solitude;Kate Chopin;F;literature
"I wish, as well as everybody else, to be perfectly happy; but, like everybody else, it must be in my own way";Jane Austen;F;literature
Love is holy because it is like grace – the worthiness of its object is never really what matters.;Marilynne Robinson;F;literature
Each time you happen to me all over again.;Edith Wharton;F;literature
Brave doesn’t mean you’re not scared. It means you go on even though you’re scared;Angie Thomas;F;literature
How easy it was to lie to strangers, to create with strangers the versions of our lives we imagined;Chimamanda Ngozi Adichie;F;literature
Life, with its rules, its obligations, and its freedoms, is like a sonnet: You’re given the form, but you have to write the sonnet yourself.;Madeleine L’Engle;F;literature
Time moves slowly, but passes quickly;Alice Walker;F;literature
Then you must teach my daughter this same lesson. How to lose your innocence but not your hope. How to laugh forever;Amy Tan;F;literature
And may the odds be ever in your favor.;Suzanne Collins;F;literature
