Quote;Author;Gender;Category
Defiende tu derecho a pensar, porque incluso pensar de manera errónea es mejor que no pensar;Hipatia de Alejandría;F;philosophy
¡Oh, fuerza de la sabiduría que todo contienes y comprendes;Hildegard von Bingen;F;philosophy
La excelencia o la inferioridad de los seres no residen en sus cuerpos según el sexo, sino en la perfección de sus conductas y virtudes;Christine de Pizan;F;philosophy
"El amor al estudio es la pasión más necesaria para nuestra felicidad; es una fuente de placer inagotable";Émilie Marquise du Châtelet;F;philosophy
"Mujer, despierta, el llamamiento de la razón se hace oír en todo el universo; reconoce tus derechos";Olympe de Gouges;F;philosophy
No deseo que las mujeres tengan poder sobre los hombres, sino sobre sí mismas;Mary Wollstonecraft;F;philosophy
No puedo vivir conforme a ejemplos ni voy a representar jamás un ejemplo para nadie, pero en cambio voy a darle forma a mi propia vida de acuerdo conmigo misma;Lou Andreas-Salomé;F;philosophy
"No hay pensamientos peligrosos; el pensamiento es peligroso";Hannah Arendt;F;philosophy
No se nace mujer, se llega a serlo;Simone de Beauvoir;F;philosophy
Hay que realizar lo posible para alcanzar lo imposible;Simone Weil;F;philosophy
